,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ghana,316000000.0,12.0,63.10263,24971353345.8208,26056812915.8501,28440958947.8913,29819138460.1109,32174772955.9748,36694042412.3186,40103840658.742004,43036444041.2994,44751818870.199005,46489399741.3134
Gibraltar,8000000.0,245.0,0.0,,,,,,,,,,
Greece,993000000.0,90.0,24.79528,321553555099.338,332080404503.31104,330967362119.205,316733337350.993,299379400264.901,272038594039.735,252178432980.132,244113162384.10602,245709620132.45,245140626622.517
Greenland,9000000.0,166.0,78.125,,,,,2287220565.1596,,,,,
Grenada,5000000.0,43.0,0.0,774430775.474869,822062784.995063,829864579.657853,774978091.9015031,771015888.888889,776912813.791643,767937177.52872,786001370.766791,830684137.656141,859018654.450385
Guam,,,0.0,,,,,,,,,,
Guatemala,452000000.0,29.0,49.52168,36409421544.6181,38704692063.8681,39974623902.8469,40184907620.7582,41338008617.1119,43058516769.1373,44337293327.312004,45976702691.0182,47895848024.7646,49882943531.6821
Guinea,145000000.0,12.0,48.44221,4363170508.0501,4439861186.002,4659054145.11409,4645999834.78399,4735956493.06479,4921073734.73988,5115166393.893021,5232815181.98995,5253746369.5154295,5258999828.38809
Guinea-Bissau,29000000.0,17.0,0.0,737464300.630282,761097588.140336,785490084.5317731,811524428.350741,847491366.890874,926597014.655095,909936792.889118,917400753.4022712,940712595.528148,985836507.581695
Guyana,34000000.0,45.0,0.0,1919759428.27848,2054532557.6488302,2095143415.0007,2164673350.7761,2259288396.24467,2382128754.36652,2496863007.17268,2627239852.39885,2728149909.3828397,2810153023.4278
Haiti,172000000.0,16.0,12.76018,6523228358.6981,6741318083.4897,6798211055.17447,7007816740.328871,6622541528.56888,6988353355.27882,7189974061.95115,7495399488.89042,7705005174.044829,7832265768.6028595
Honduras,217000000.0,28.0,37.76319,14139785190.6771,15014801358.9561,15650167709.792,15269613868.5127,15839344591.9842,16446892853.4328,17125933703.7093,17604014377.0727,18147136062.4235,18806832092.4349
Hungary,947000000.0,95.0,3.263634,136467171196.018,137048275663.65302,138198584589.305,129134031548.04301,130093753005.675,132380152891.21901,130144390971.915,132603818055.20801,137473322008.75302,141513547177.07
Iceland,312000000.0,957.0,99.9724,12963368582.5961,14193969535.7889,14403867348.1575,13729597602.4568,13236887873.0516,13500053195.3882,13659749592.2017,14191929403.0356,14451167765.0362,15023018132.9136
India,33195000000.0,26.0,14.96908,1265894322131.09,1374865195244.5,1428360609657.8,1549482541544.7,1708458876829.92,1821872415623.62,1924235460945.25,2051981849791.69,2200616575310.97,2367206118959.06
Indonesia,8754000000.0,35.0,12.18904,602626661363.277,640863456970.63,679403085754.1421,710851779404.06,755094157594.527,801681837683.1329,850023658571.777,897261714696.7329,942339147749.082,987514144907.28
Iran,9172000000.0,119.0,5.707721,389552313541.27,425064554419.08704,428990857822.095,438920754763.986,467790215915.476,485330901134.448,453256899727.83203,444592553889.771,463902735245.89,
Iraq,2077000000.0,61.0,7.871554,114771608149.415,116352699697.206,125926324446.49301,130181751588.159,138516722649.573,148969847232.097,169730925971.545,180885914501.784,177054265948.267,180772405533.18103
Ireland,548000000.0,117.0,20.92106,224965327549.66898,237434595099.338,232300285298.013,219202343576.159,220076114437.08603,225771869801.325,226113050728.477,229356195761.589,241281270463.57602,260128705960.265
Isle of Man,0.0,4.0,0.793651,4109332802.38461,4415768422.34478,4850662591.66821,4953843516.88238,5420291954.71889,5681266119.97835,6036319157.98014,6307561781.47327,,
Israel,997000000.0,128.0,0.872525,200478776258.219,212778307552.702,219288062091.01,222070086195.673,234321743781.76,246108571729.90198,253141727649.947,261630083834.698,268431627288.425,275110410785.986
Italy,6530000000.0,109.0,33.66723,2202169663576.16,2234626814701.99,2211154176556.29,2089937511523.18,2125184794172.19,2137439133774.83,2077184315761.59,2040871178145.7,2033867707549.67,2049315603576.16
Jamaica,108000000.0,39.0,5.615602,13912554966.1715,14111776358.6109,14009845722.2224,13389880550.9539,13190512703.1357,13417813082.7015,13336835828.6564,13409909753.6959,13502136504.2691,13623655732.8075
Japan,18984000000.0,149.0,10.23282,5496541517363.31,5617035943770.73,5558526873313.82,5251308399909.32,5498717815809.77,5473738114222.05,5569101602926.18,5644658523313.42,5642884448582.19,5669563143140.97
Jordan,325000000.0,45.0,0.335979,21104612161.5294,22830065952.602997,24481229578.6302,25821963958.4769,26425379436.6197,27102082878.3823,27820614207.3543,28607718020.5301,29493507454.652,30196245313.054
Kazakhstan,3548000000.0,208.0,8.112784,121197091345.39099,131983632475.12401,136339092347.081,137975161454.46698,148047348240.643,158706757313.97,166007268150.412,175635689703.137,182836752980.965,185030794016.737
Kenya,873000000.0,20.0,73.7571,33350571127.2017,35635328632.0885,35718103351.8622,36899279532.8919,39999659233.7555,42444283791.605,44377596638.6731,46904248572.9359,49405117161.2667,52196109596.1767
Kiribati,1000000.0,8.0,0.0,137765076.83636102,148120111.468521,152199692.070366,151187531.661931,150431113.557145,154552937.75005502,158895896.234217,163619542.854754,169673465.94038,175009109.52341002
Kuwait,1475000000.0,410.0,0.0,117123372644.801,124141008374.04,127219511514.306,118217328332.17,115419050942.08,126532100488.486,134916608513.608,136466852756.455,134253314724.354,133716301465.45699
Latvia,183000000.0,91.0,48.83234,27178155802.8617,29885235824.0594,28810072866.9846,24676136724.9603,23743309485.9565,25218125331.2136,26228170376.2586,27020688924.2183,27658162427.133,28180047694.7536
